Austin Powers,Mike Myers; Elizabeth Hurley; Raquel Welch; Mimi Rogers,,Comedy; Time Travel and Secret Agents
Australia,Nicole Kidman; Hugh Jackman,,Western; Romantic Drama; WWII
Avalon,,,Drama; Jewish Immigrants
Avatar,Sigourney Weaver; Michelle Rodriguez,James Cameron,Science Fiction
Avengers,Ralph Fiennes; Uma Thurman; Sean Connery,,Comic Book--From TV Series
Aviator,Leonardo DeCaprio; Alec Baldwin; Alan Alda; Cathy Blanchett; Kate Beckansale,Martin Scorcese,Drama; Howard Hughes Biography
Awake,Terrance Howard; Jessica Alba,,Mystery; Anesthesia
Awakenings,Robin Williams; Robert De Niro,,Drama; Handicapped People
BaadAaassss,,,Drama; Black movie makers
Babel,Brad Pitt; Kate Blanchett,,Drama; Atempted murder/three continents
Bachelor Party,Tom Hanks,,Comedy
Back to School,Rodney Dangerfield,,Comedy
Back to the Future,Michael J. Fox; Lea Thompson; Christopher Lloyd,Robert Zemeckis,Science Fiction Comedy
Back to the Future II,Michael J. Fox; Christopher Lloyd,,Science Fiction Comedy
Back to the Future- III,Michael J. Fox; Christopher Lloyd; Lea Thomson; Mary Steenburgen,Robert Zemeckis; Steven Spielberg,Comedy; Science Fiction Western
Backlash,,,
Bad Boys,Sean Penn; Ally Sheedy,,Drama; Juvenile prison
Bad Company,Jeff Bridges,,Western
Bad Influence,Rob Lowe; James Spader,,Drama; Suspense
Bad News Bears,Walter Matthau,, Baseball
Baggage Claim,,,Romantic Comedy; can't find mr. right
Bananas,Woody Allen; Lauren Lasser; Howard Cosell,Woody Allen,Comedy; 3rd World Coup
Bang The Drum Slowly,Robert De Niro; Vincent Gardenia; Michael Moriarty,,Drama; Baseball & Cancer
Bank Job,Jason Statham,,Crime Drama; biggest bank heist ever
Bank Shot,George C. Scott,,Comedy
Barefoot Executive,Kurt Russell,,Comedy; Disney - Chimpanzee
Barry Lyndon,Ryan O'Neal; Marisa Berenson,Stanley Kubrick; John Alcott,Drama; 18th Century English Royalty
Basic Instinct,Sharon Stone; Michael Douglas,,Mystery
Batman,Michael Keaton; Kim Basinger; Jack Nicholson,,Comic Book; Joker 1989 Version
Batman,Adam West; Burt Ward; Cesar Romero; Frank Gorshin; Burgess Merideth; Lee Meriweather,,Version 1966
Batman Begins,Christian Bale; Katie Holmes; MIchael Caine,,Comic Book
Batman Forever,Val Kilmer; Jim Carey; Nicole Kidman; Chris O'Donnel,,Riddler
Batman Returns,Michael Keaton; Burgess Meredith,,Penguin
Beach,Leonardo DeCaprio,,Drama; Island cult
Beach Blanket Bingo,Frankie Avalon; Annette Funicello; Don Rickles; Buster Keaton; Paul Lynde; Linda Evans; Jody McCrae;  Donna Flora; Bob Harvey; Harvey Lembeck,William Asher,comedy; musical
Beach Party,Frankie Avalon; Annette Funicello; Bob Cummings; Harvey Lembeck; Murray Amsterdam; Eva Six; Vincent Price,,Musical Comedy
Beautiful Girls,Matt Dillon; Timothy Hutton; Lauren Holly,,Romance
Beautiful Mind,Russell Crowe; Ed Harris; Jennifer Connelly,Ron Howard,Drama; Schizophrenic and Genius
Beauty and the Beast,,,Animation; Disney
Bedazzled,Brendan Fraser; Elizabeth Hurley,,Comedy:  The devil
Bedknobs and Broomsticks,,,Disney -Animation
Beguiled,Clint Eastwood; Geraldine Page; Elizabeth Hartman,Don Siegel,Horror; girls home and civil war
Being John Malkovich,John Malkovich; John Cusack; Cameron Diaz; Orson Bean; Mary Kay Place; Sean Penn,Spike Johnz,Fantasy
Bellboy,Jerry Lewis; Milton Berle,Jerry Lewis,Comedy
Ben Hur,,,Roman Empire
Beneath the Planet of the Apes,,,Science Fiction
Benny & Joon,Johnny Depp,,Romantic Comedy; Retarded People
Best Little Whore House in Texas,Burt Reynolds; Dolly Parton; Jim Nabors; Dom Deluise,,Comedy; Musical
Best of Everything,,,
Better Off Dead,John Cusack,,Romantic Comedy
